
4.7;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(2.9, 305.9, 358.7);
4.72;Route1;1;(382.5, 1.5, 1074.2);(-0.8, 0.0, 0.6);(0.0, -0.5, 0.0, 0.9);(2.8, 305.9, 356.8);
4.74;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 305.8, 356.3);
4.76;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(2.9, 305.7, 356.9);
4.78;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.1, 357.6);
4.8;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.0, 307.1, 357.4);
4.82;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.8, 357.1);
4.84;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.0, 357.1);
4.86;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.3, 306.1, 357.1);
4.88;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.3, 306.4, 357.1);
4.9;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.6, 357.3);
4.92;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.3);
4.94;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.3, 306.4, 357.1);
4.96;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.3);
4.98;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.3);
5;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.3, 306.5, 357.2);
5.02;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.3, 306.4, 357.2);
5.04;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.3, 306.4, 357.2);
5.06;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.4, 357.2);
5.08;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.3);
5.1;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.2);
5.12;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.3, 357.2);
5.14;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.3);
5.16;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.3);
5.18;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.2);
5.2;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.2);
5.22;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.4, 357.3);
5.24;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.2);
5.26;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.2);
5.28;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.3);
5.3;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.4, 357.3);
